"@title","English"
"#01177","Rocky Martino, Boxer"
"#01178","My trainer found out I was playing games on my phone when I was supposed to be training and tried to beat some sense into me, but I dodged each punch he threw at me.<br>It's all thanks to fast reflexes honed by playing games!"
"#01179","Sandy Eely, Aquarium Manager"
"#01180","Your last game was really good.<br>The game mechanics, what with being unable to progress to the next stage until you tap at least 30 times, were refreshingly new!<br>Can't wait to see what the minimum tap limit will be in your next title!"
"#01181","Richard Bounty, Treasure Hunter"
"#01182","You guys are geniuses!<br>In my job, I've been struggling to find any treasure but I struck gold when I discovered your games and applied game logic in real life.<br>Thanks to you, I found my first buried stash of coins.<br>I spent all the money I made on outfitting a gaming room.<br>Thanks, guys!"
"#01183","Kenneth Kim, Guam"
"#01184","I've never written a fan letter, so I'm really nervous about this.<br>Please promise not to laugh even if it sounds awkward; keep in mind it's my first try…<br>Oops, I've run out of space!"
"#01185","Albie Zweistein, Researcher"
"#01186","Your games are all masterpieces.<br>I would, in fact, count them among the top thirty games I've ever played. Honestly."
"#01187","Deena Reverie, Washington"
"#01188","Thanks for making fantastic games!<br>Sometimes I play so much that I then dream about playing, and wake up only to find out that all the leveling up I'd done was not real..."
"#01189","Ned Shun"
"#01190","Hey, hey!<br>Thanks for many hours of satisfying gameplay!<br>If only I could get more fans as easily as your games do.<br>Should I talk about them on my next radio show, maybe?"
"#01191","Fortune-teller (48 years old)"
"#01192","Hello.<br>I love your games, so I asked my crystal ball how I could help you guys out, and when the mists cleared I saw gaming platforms, and over time their user base got bigger, but there were differences from one to another.<br>If you want more details, visit my parlor, and I'll tell you all about it at a 3% discount! I'll even cast a lucky spell on, you which will prevent you from stepping into puddles for one day."
"#01193","Illusionist (32 years old)"
"#01194","I had lots of fun playing your latest game, <game>!<br>I use playing cards for my magic tricks, but it never occurred to me you could just play card games with them.<br>I was so shocked that I accidentally smeared my stage make-up all over my face and spooked my doves, which flew out of my hat and into the unknown! But don't worry, I'm still glad to have played your game!"
"#01195","Gavin Smarts (11 years old)"
"#01196","Hello!<br>I'm an elementary schooler and I love <game>!<br>I want to become a game dev when I grow up, so I'm trying to learn all I can about games.<br>I read that having helpers makes development smoother.<br>I guess you're using them all the time, right?<br>I wish I had some too, to help me with my homework.<br>What game are you working on now?<br>Is it a secret?<br>No matter what it is, I'll play it!"
"#01197","Vegeta Bless, Iowa"
"#01198","I've played many arcade games before, but the one you made blew my mind!<br>It was a wholly new experience for me, and I just had to write to you to let you know you're doing great work.<br>Can you make a game about vegetables next time?<br>Thanks!"
"#01199","Foodie (28 years old)"
"#01200","Whoa, I was playing your game last weekend and before I knew it, it was Monday morning!<br>Give me back my precious weekend, lol!<br>By the way, I recently discovered that the staff's likes and hobbies can greatly affect how much EXP they get.<br>In other words, better to give them what they enjoy!<br>Anyhow, I feel so tired now from all that gaming that I think I'll call in sick and rest for a couple days, haha."
"#01201","Part-Timer (27 years old)"
"#01202","<game> was great fun. It took me ages to figure out how to escape, it was a real challenge. But now I feel like I can take anything on, and if I ever get trapped somewhere, I'll find a way out for sure! Thanks a bunch for that awesome game!"
"#01203","Consultant (37 years old)"
"#01204","I tried your interactive chat game the other day and it made a deep impression on me.<br>It was like being hit with a hammer.<br>It was so inspiring my head hurt from too many ideas bursting out like supernovas.<br>I hope your next game will be a bit more laid-back...<br>I just thought I should share this tidbit of info with you.<br>You can get more applicants if you make progress developing games or holding meetings.<br>I wish you luck!"
"#01205","Betty Dimm (8 years old)"
"#01206","Your new game, <game>, is so cool!<br>I've never played anything like it before.<br>I told my classmates about it and they had all already finished it...<br>I asked the teacher how to make games like that, and she told me you need to have a flexible mind, but my head is so rigid and not flexible at all!<br>Is there some cream I can rub on it?<br>Because I really want to make games too!"
"#01207","Pro Gamer (34 years old)"
"#01208","Hello!<br>I can see your studio is serious about making good games, so here I'm writing to you to let you know you're awesome and we need more devs like you!<br>How's your staff holding out?<br>There are some furnishings that can restore their HP, you know?<br>And they also recover if you give them a breather and have another team take over the work.<br>Don't overwork the good people on your teams! Bye!"
"#01209","Susanne Homes (32 years old)"
"#01210","I've long been a housewife but your games changed my life.<br>I got so addicted to your games that I tried to make more time for them and got really fast at eating my meals.<br>So fast that I won a televised speed-eating contest.<br>I just signed a contract for a global speed-eating show.<br>I'm so thankful to , <name>.<br>Please release more games!<br>I have a feeling they will help me get even better times in the contests."
"#01211","Quiz Fan, Idaho"
"#01212","<game> was really hard for me, and I struggled to find the answers.<br>Had to buy five game guides, but despite that, I still haven't completed it.<br>Annoying though it is, it goes to show you're not afraid to make challenging games for hardcore players.<br>You're going to make waves in this industry, you can take my word for that!<br>Good luck with your next game!"
"#01213","Office Clerk (24 years old)"
"#01214","Thank you for making wonderful games!<br>All my friends agree that playing games by <name> in the evening is a failsafe way to get a good night's sleep.<br>The other day I carelessly played a bit while at work, and I fell asleep during a meeting!<br>I hope no one noticed... Keep up the good work and treat us fans to more great games!"
"#01215","Game Director"
"#01216","I work at a games studio too, but I like your games so much more than ours.<br>You even made a board game that was fun.<br>How did you pull that off?<br>You really have a special talent, or maybe it's because you've been upgrading your staff with special items?<br>Can I have you work for me next time?"
"#01217","Middle Schooler, Puerto Rico"
"#01218","The game you just released, it was one I came up with!<br>I had it all planned out in my notebook.<br>How did you know?<br>Anyway, thank you!<br>It turned out really well.<br>Can you make a wordplay game next?<br>It will be a bestseller!<br>Do credit me for the good ideas!"
"#01219","Department Head, Investment Company"
"#01220","I'm writing to you as I've taken interest in your company's management strategy.<br>You're probably aware of this, but to survive in this fast-changing business, it's important to level up your company.<br>Invest money and items to raise your overall competing power.<br>And, of course, keep making games which will be so good that even I would pretend to be sick just to stay at home and play!"
"#01221","Finn Balance (28 years old)"
"#01222","Hi! I first downloaded your game by mistake, thinking it was by another studio I like, but I decided to give it a try before claiming a refund, and it was great! <game>'s art style is right up my alley, and I think the game is very well-balanced. I like things that are well-balanced, like latte with just the right amount of milk and espresso."
"#01223","Pro Wrestler, South Carolina"
"#01224","Hi there!<br>I love your games, they're amazing.<br>Have you got lots of trophies by now?<br>Because you know, earning trophies also gets you lots of prizes that may come in handy during game development.<br>And you guys definitely have what it takes to qualify for trophies!<br>Me, I've got loads.<br>In games.<br>Maybe one day I'll win some for wrestling, too."
"#01225","Driver, Alabama"
"#01226","I work as a taxi driver.<br>Playing your games makes the downtime when I'm waiting for my next customer go by much faster.<br>Sometimes I get passengers who are gamers too, we get talking about games and they don't even notice that I've done several laps around the place I was supposed to drop them off.<br>It's greatly boosted my earnings!"
"#01227","Train Conductor, Siberia"
"#01228","I read a lot of magazines about the video games industry during the long journeys on the Trans-Siberian Express and the other day I read that there are daily perks not just in games but in real life too.<br>Different assistants appear on different days, and which themes are popular also changes with the day of the week!<br>I hope this info helps you and you make more fun games.<br>Good luck!"
"#01229","Lala Singsong, Dancer"
"#01230","I work as a dancer at an exclusive club.<br>One of the customers told me about <game> and I liked it so much I couldn't stop talking about it 24/7.<br>It turned out some other customers were gamers too.<br>They've become regulars and we play games together!<br>I don't even have much time left for dancing any more, but my boss isn't complaining since I draw in customers all the same, so it's all good!"
"#01231","Talent Agency President"
"#01232","Hey there!<br>Your games are so good I can never resist playing them.<br>To produce such amazing titles, a games studio must have an equally amazing boss!<br>A capable boss attracts talented staff, making it all come together, so it's really important to train the person in charge as well.<br>But you surely knew that already!<br>Keep rocking on!"
"#01233","Musician, Louisiana"
"#01234","Hello!<br>I'm a humble musician also working part-time at a gas station to make ends meet.<br>My coworker there told me about <game>, and playing it was such an inspiring experience, that I came up with a number of songs about it, recorded them all and released as my band's first proper album...<br>It became a smash hit!<br>Thanks to that I only need to work two days of the week at the gas station now, instead of five.<br>Hooray!"
"#01235","Grouchy Raymond (42 years old)"
"#01236","People say the games industry is unforgiving, and it's not easy staying afloat, but you guys manage to keep a good reputation and release one great game after another.<br>I hear that you try dev challenges to come up with even better games than usual.<br>Wow.<br>It blows my mind trying to imagine just how far you can get using special dev strategies and all that fancy stuff."
"#01237","Tim Eddict, Oregon"
"#01238","Man, your games are hard to put down.<br>I always end up playing till the morning.<br>Clocked in 5,000 hours on the last one.<br>Shouldn't there be an achievement for that?<br>But the other day I went out to get some food, and when I came back, my basement room was empty.<br>I lost my tablet with my save data, and all the furniture disappeared.<br>What's that about?<br>I don't care about the furniture but my save dataaa!"
"#01239","Belle Valentine, Arizona"
"#01240","Thank you so much for the hours of fun I've spent playing your games!<br>I fell in love with your studio's games at first sight.<br>I was wondering if you're holding meetings to recruit more staff?<br>Meetings are really good for that, I hear!<br>Oh, and I had some surplus chocolates from Valentine's Day, but I ate them all in the end.<br>*burp*<br>So I'm sending you a different gift instead.<br>Enjoy!"
"#01241","Office Clerk, New Mexico (37 years old)"
"#01242","When I got a job at a company, I stopped playing games for a while, but then I gave yours a try and became totally hooked.<br>The BGM is fantastic!<br>I was humming it the other day and a cute girl came up to me saying,<br>""That's the theme song from <name>!<br>It's my favorite game too! Let's be friends!"" and then I woke up.<br>Keep making great games which will give me lovely dreams like that!"
"#01243","Interpreter, Montana"
"#01244","Hi!<br>I'm very busy with work, but I play one of your games for a few minutes every day.<br>I've been playing it for a year now and I'm hoping to clear the first stage soon!<br>On a different subject, are you maybe having a tough time finding upgrade items for your staff?<br>I hear that you can get them from outsourcing or holding meetings, so give that a try!"
"#01245","Modern Robin Hood, Sort Of"
"#01246","Hello!<br>The other day I got my hands on someone's tablet while, uhm, clearing out their apartment of stuff they potentially didn't need and found a game with 5,000 hours of play time on it.<br>I was intrigued and wanted to see what it was about. It's so great, I think I'll add another 5,000 hours of my own play time to it!<br>And then maybe I'll return it to its rightful owner.<br>I'm not heartless after all."
"#01247","University Staff, Illinois"
"#01248","Your games are great, thank you for making them!<br>I lately hear young children humming songs from your games, so it seems they're popular among players of all ages.<br>It must take a lot of skill to create games with such a broad appeal.<br>I'm guessing you've been making use of Skill Books!<br>But of course you would, being a first-rate games studio!<br>I'm really impressed by you, and so is everyone in my family, just so you know!"
"#01249","Gertrude Willies (82 years old)"
"#01250","Greetings, my name is Gertrude Willies and I started playing games after encouragement from my grandson.<br>Games make for very good pastimes, and it seems they're good at stimulating the brain and preventing the onset of senility.<br>In fact, my memory seems to have improved since I started playing, and now I can even remember what I had for breakfast as many as 10 days earlier!<br>I'd like to thank you for doing a service to mankind by creating such valuable works of digital art."
"#01251","Skill Teacher, Nebraska"
"#01252","Hello!<br>I'm a self-proclaimed skill teacher, teaching all sorts of more or less useful skills to anyone willing to enroll at my private academy.<br>There are lots of skills which help with game development, so make sure your staff learns some.<br>Why am I telling you this?<br>Because I care about the quality of your games!<br>I'm a fan, you see, eagerly awaiting AAA titles from your studio."
"#01253","High School Student, New Mexico"
"#01254","I'm preparing for university exams and it's really stressful, but I've found that taking breaks to play games helps me relax and cope with all that.<br>The study/play method has caught on with my friends too.<br>Without getting so stressed, we're having a much easier time cramming academic stuff and our mock exam results are getting better and better.<br>Keep making fun games, they're making a real difference for a lot of people besides me, I bet!"
"#01255","Private Detective, Utah"
"#01256","<game> had such a shocking ending!<br>Even with my superb deduction skills, I could not predict that the protagonist would end up like that...<br>Amazing plot twist!<br>By the way, do you guys make use of assistants?<br>They become indispensable when working on big titles.<br>Go and find yourself some helpers and make even more amazing games!"
"#01257","Student, Iowa"
"#01258","This is the first letter I've ever written, but I thought this was the best way to thank you.<br><game> gave me all the motivation I needed to pass the exams for a renowned university I'd dreamed of getting into.<br>I'm enclosing a gift for you.<br>I hope you like it."
"#01259","Fisherman, Hawaii"
"#01260","Ahoy there, I'm writing to you from the middle of the Pacific ocean!<br>I've been playing your games while out at sea and my squeals of delight attracted a large shoal of fish, landing me an amazingly big catch!<br>My work done, now I can focus just on playing while being gently rocked by the waves.<br>Mahalo!"
"#01261","Junior High School Teacher, Alaska"
"#01262","Thank you for making such meaningful and fun games, <name>!<br>I love them, and so do my students.<br>We're all playing them, competing for the highest score!<br>I'm thinking of having questions based on your games on the next test.<br>This might be the way to finally get my students' grades up!<br>I'm hoping for more extraordinary titles from you!"
"#01263","Jake Mackson, California"
"#01264","Sup, <name>!<br>My friend who's a huge opinionated game nerd introduced me to your games, and now I'm a big fan!<br>I haven't had this much time since that one zombie game I played when I was a teen...<br>Didn't know I could still get this excited about a game.<br>So thanks and keep the good stuff coming!"
"#01265","Trader, NYC"
"#01266","I started playing <game> just a while ago.<br>It was a big surprise you'd put <content> in a game from the <genre> genre, but that kind of fresh thinking was dearly needed in the games industry!<br>I'm expecting nothing but the best from your upcoming titles!"
"#01267","Hello.<br>I'd like to congratulate you on <game>, it's a really fun game.<br>I've become a hero at my kindergarten thanks to being a gamer and landed a role in a TV soap!<br>You have your hand in that, indirectly, so thank you!<br>I hope to see more enjoyable games from your studio."
"#01268","Graphic Artist, Pennsylvania"
"#01269","I love your games, especially <game>!<br>The <content> theme was so unexpected that, in a state of shock, I ate three bowls of rice and would have had two more, but I realized what I was doing before reaching the point of great regret.<br>I'll be your fan forever!"
"#01270","Clothes Shop Clerk, Maine"
"#01271","I read the interview with <staff> from your studio in a magazine and I fell in love at first sight!<br>You're just my type, <staff>!<br>I'm your biggest fan!<br>I promise to play every game you make, and I bought 5 copies of the magazine with the interview too.<br>Keep doing your best, I believe in you!!!"
"#01272","Movie Director, Wyoming"
"#01273","I tried one of your games for the first time a little while ago.<br>There is still room for improvement, but you're on the right track.<br>The overall composition is tasteful yet with an original twist, just like my movies.<br>I still have to finish the first one, but I'm on it.<br>I'll definitely play anything released by your studio.<br>Good luck!"
"#01274","Event Producer, Nebraska"
"#01275","Awesome games!<br>I was so impressed by...<br>What's it called...<br>Ah, <game>, that I played lately!<br>My wife says that having a game studio like yours makes you a really cool, <president>, and I should think of a different career too...<br>Anyway, I'm sending you good vibes and positive thoughts!"
"#01276","Accountant, Vermont"
"#01277","Hello!<br>You guys are an inspiration for me and my family.<br>Whenever you release a new game, we all stay up playing together all night and it's really quite lovely!<br>We even posted a walkthrough for one of your games online.<br>Working on it together was a wonderful bonding experience for the whole family!<br>Thank you for always giving us something to look forward to!"
"#01278","High Schooler, North Dakota"
"#01279","I'm a fan of your games!<br><game> became a huge hit in my class, but since we aren't allowed to play at school, we ""air-play""!<br>It's like when you don't have a guitar so you play air guitar.<br>Lately we got so good at it, we can have competitive matches and all, all imaginary!"
"#01280","Derek Boxer, New Jersey"
"#01281","Sorry for my handwriting, I don't really write all that much.<br>I'm making an exception because <game> was an exceptional game, at least to me.<br>I got sucked into the game world after the first three minutes, and somehow clocked in 1000 hours of play time...<br>No other game ever got me so hooked I'd be sitting on the floor wearing nothing but my boxers, playing obsessively all night long.<br>It was awesome!<br>I want more!"
"#01282","Noodle Lover, Delaware"
"#01283","Great games, I love them all, but here I have a suggestion!<br>How about an action game about noodles?<br>It'll become a huge craze, all my friends agree on that!<br>You could have different themes to it, spaghetti, vermicelli, udon, and ramen noodles as DLC!<br>Please consider it!"
"#01284","Gamer, Maryland"
"#01285","I've long been looking for a game that'd really get me hyped and at last, I came across <game>!<br>I've stopped eating or sleeping since I discovered that game, since that's just a waste of time while I could do something productive like climb the in-game rankings.<br>It's a rare treasure, this game, but maybe you can produce more!"
"#01286","Video Game Magazine Editor"
"#01287","Dear studio head, I work for a major video game magazine and as part of my job, I'm constantly on the lookout for outstanding games.<br>Yours are exactly that!<br>I'm convinced that as you gain more experience in this field, you will reliably produce top-quality AAA titles which will regularly grace the pages of my magazine.<br>I'll be looking forward to that."
"#01288","Seph Saver, Hawaii"
"#01289","Your games add a lot of joy to my life, and that's why I really care about your company.<br>So let me remind you not to quit the app while data is being transferred or during saving, and to install updates only after closing the app.<br>I wish you all the best, guys!<br>Oh, and one of my friends would like to apply to your company so you may be seeing a new applicant soon!"
"#01290","Boonie Bust, Chicago"
"#01291","Your games stand out from the others and I'm enjoying them a lot.<br>Do you choose what games to make based on what's currently all the rage?<br>Because that gives you a chance of finding idea modules during development, or so I read online at least.<br>Maybe you should give it a try and see if that's true!"
"#01292","Crab, Seaside"
"#01293","Hi, I'm just a crab but I also happen to be an expert on game development.<br>No one's going to hire a crab so I'll share my know-how with you for free.<br>Did you know that theme compatibility not only makes games more fun to play, but also gives you better odds of finding treasure?<br>And when the themes are not compatible...you get more bugs.<br>But you can use that to your advantage too, since debugging can get you meeting points.<br>Every cloud has a silver lining!"
"#01294","Polar Bear, Arctic Circle"
"#01295","Howdy, I'm a video game industry consultant, and also a bear.<br>Do you ever have trouble with game development due to a shortage of programmers?<br>Having balanced dev teams with all the necessary positions filled is really basic stuff, but I thought I'd remind you of it anyway, although you seem like a capable studio head.<br>My friend wants to apply to your company sometime soon.<br>I'd happily join you myself if you could have the A/C set to -58 °F, but that might not be comfortable for your human staff."
"#01296","Carpenter, New Hampshire"
"#01297","You're really taking the mobile games market by storm!<br>Your studio must be growing fast, and so it should need new furnishings...<br>But did you know that what furniture or items are on sale depends on what day of the week it is?<br>Check stores daily and get your studio outfitted in a way that will boost its productivity!"
"#01298","Mr. Sorebutt, Kentucky"
"#01299","Your games are so hard to put down that my behind's been getting really sore from sitting all day…<br>Until I realized I can play while standing up, walking around, jogging, and even paragliding!<br>Mobile devices are the best."
"#01300","Since I found out about all the great games made by <name>, I've been playing all day and all night, skipping meals and sleeping less.<br>Thanks to that I really shaped up and now I look very attractive!<br>I gathered up the courage to apply to college and got in!<br>It's all thanks to you!<br>By the way, one of my friends will be applying to your company soon!"
"#01301","Sheepy Fluffs, Wisconsin"
"#01302","Holy cow, you made 1,000 games!<br>How is it even possible for one game studio to achieve that?<br>Wow!<br>I've played every single one of them, of course, starting from your debut release.<br>What was it, Sheep Dating Sim?<br>I think that was by your studio?<br>No?<br>Moving on, I believe you can make another thousand games if you try!<br>Or even more, why not go for over 9,000!<br>I'm sending you some ideas for games that I thought up.<br>I hope you can use them!"
"#01303","TV Writer (46 years old)"
"#01304","Congrats on 100,000 downloads!"
"#01305","Congratulations! 100,000 downloads, that's, uhm, a lot!<br>When I saw that mentioned on the games news, I thought it might be worth checking out your games, and I became a fan right away!<br>I didn't know that games could be this good.<br>I hope you'll release even more amazing ones!"
"#01306","Randy Guy (56 years old)"
"#01307","Congrats on 500,000 downloads!"
"#01308","Hey, congrats on reaching 500,000 downloads!<br>Since you're doing so fabulously well, you might want to expand your studio, adding more floors.<br>You can select that option from the menu on the left.<br>Give it a try and get more space for your staff!<br>Keep making great games, bye!"
"#01309","Cindy Summers, Guam"
"#01310","Congrats on 1,000,000 downloads!"
"#01311","A million downloads at last!<br>I'm very happy for you!<br>I've been sending you positive thoughts ever since I found out about <name>, and incredible as it sounds, it looks like it's thanks to them that you're doing so well!<br>I held a little celebratory party for you at my local fried chicken shop.<br>By myself.<br>I hope you'll keep doing well and that one day you'll hire me as your secretary!"
"#01312","Archaeologist, Egypt"
"#01313","Congrats on 3,000,000 downloads!"
"#01314","Congratulations on reaching 3 million downloads!<br>Do you remember to open the app every day to get PF Knowledge?<br>It's used for developing your own gaming platforms, you know, which can help you deliver even more amazing games to a wider player base.<br>I wonder if you could maybe make a game about archaeological digs?<br>Not grave robbing but proper research stuff!<br>I'd love that."
"#01315","Richie, Oregon"
"#01316","Congrats on 5,000,000 downloads!"
"#01317","Hi!!!<br>Congrats on 5 mil downloads!<br>I've been playing this one game you made since the day it was released.<br>I normally get bored of things really quickly, like, I can't have curry for three nights in a row without it making me feel sick, so it's a miracle I'm still playing that!<br>I love the DLC characters.<br>Can you make a character based on me and add him as DLC too?<br>I can send you a photo of me if you want.<br>Let me know."
"#01318","Pop Idol, Montana"
"#01319","Congrats on 10,000,000 downloads!"
"#01320","You're amazing, getting 10 million downloads!<br>I started playing <game> just to kill time, but now it's part of my life.<br>Listening to the BGM puts me in this nostalgic mood and I feel like it's reminding me of something I forgot a long time ago.<br>And there's nothing wrong with doing things just to kill time, anyway.<br>That's something every one of us has the license to kill."
"#01321","Company President, New York City"
"#01322","Congrats on 50,000,000 downloads!"
"#01323","50 million downloads, that's mind-blowing!<br>Good job!<br>I saw that the latest list of the top 100 company CEOs in the world now includes <president>, so allow me to congratulate you.<br>Let's make our rivalry productive for both of us, so that we bring even better products to our cherished customers!"
"#01324","Ranking Asso. Chairman, Oregon"
"#01325","Congratulations on Ranking Up!"
"#01326","Hello.<br>I'm the chairman of the Ranking Association, which oversees game studio rank promotions.<br>I'd like to congratulate you for ranking up.<br>Your newly-established company is a small but promising rising star in the games industry, and we're all very interested in what you can make of it.<br>Please find attached the rank-up gift."
"#01327","Congratulations on ranking up!<br>That didn't take you long. How's your standing in weekly rankings and reviews, though?<br>Just between you and me, releasing new games is always worth it as there are always some users quick to claim the new game is even better than the last.<br>So don't stop working on new titles!"
"#01328","Well done, you ranked up again, in no time at all!<br>Did you figure out how to get items and treasure efficiently yet?<br>You see, it all depends on whether the genre and game content are a good match.<br>When they are, you get more stuff.<br>Pay attention to compatibility, make amazing games, and you'll get treasure galore."
"#01329","My, my.<br>Your rank's pretty high now.<br>I'm very happy for you and you must know that the Ranking Association is expecting yet more great things from you!<br><br>Oh, I almost forgot.<br>Reaching rank 15 enables you to send gifts to friends.<br>So think about who you'd like to treat to gifts. All the best!"
"#01330","Congratulations on ranking up!<br>It's amazing you've made it this far, while most studios go bankrupt before getting anywhere near this level.<br>You may find that you have too much staff at this point, though.<br>It's okay to dismiss them, they might want to move on anyhow, and they'll leave behind a farewell gift.<br>How nice it is depends on how much fun they had working for you.<br>So don't be afraid of restructuring and laying some folk off!<br>Good luck trying for the next rank."
"#01331","Congratulations on ranking up!<br>I'm proud of you for reaching a rank this high!<br>Do you remember to pick up your gifts?<br>Oh, and as you expand your studio and increase staff numbers, you might want to think of developing your own gaming platform.<br>That's right, you can do it!<br>And every 15 ranks you get your chance to send gifts to friends.<br>Keep up the good work!"
"#01332","Congratulations on ranking up!<br>I'm getting a bit tired of saying the same thing to you over and over again, but you just won't stop climbing the ranks, huh?<br>At this rank it should be easy for you to get really good reviews, and your games may enter the Hall of Fame.<br>If they do, it's worth making sequels!<br>Keep producing best-selling games!"
"#01333","Congratulations on ranking up!<br><br>I'm writing to you from Hawaii this time. I'm really enjoying my vacation!<br><br>It's time for you to conquer the overseas markets too, don't you think?<br>That way you'll surely keep ranking up higher and higher!"
"#01334","Congratulations on ranking up...<br><br>I'm back from vacation and my motivation is hitting an all-time low…<br>Your staff's motivation goes up naturally as you rank up, but for me…<br>Nothing below rank 99 satisfies me, really.<br>Well, good luck to you."
"#01335","Ranking Asso. Chairman, Kentucky"
"#01336","Congratulations on ranking up!<br>Sorry about sounding so dispirited in my last email.<br>I've moved to a different state now, and that really energized me.<br>I feel 10 years younger, haha!<br>I'm even thinking of starting up a new company to compete with yours!<br>Good luck to you and watch out, I may become a serious rival! Just kidding!"
"#01337","Congratulations on ranking up!<br>Buuut, you know what?<br>Remember I told you last time I was considering setting up my own company?<br>I did, and it's doing so fabulously well it's not far away from your rank now!<br>Muahaha!<br>You better try extra hard now, or I'll overtake you!"
"#01338","Ranking Asso. Chairman, Alaska"
"#01339","Congrats on ranking up...<br>Since my last email, my company was hit hard by market fluctuations, and I had to file for bankruptcy...<br>I've taken what money I had left and bought a small place in Alaska, where I'm now enjoying a simpler life, mostly watching snow fall.<br>I hope you're still doing well.<br>I guess you are, since you keep going up in rank.<br>I wish you better luck than mine."
"#01340","Heh heh heh!<br>Congratulations on ranking up!<br>I have discovered a passion for fishing, and it seems I'm amazing at it, so I've been traveling all over the country casting my line here and there.<br>I think I can keep my position as the chairman until you make it to rank 99.<br>It's the final stretch!<br>You can do it!<br>Oooh, looks like I caught a big one!"
"#01341","Ranking Asso. Chairman, Singapore"
"#01342","You did it, you champ!<br>You got to rank 99! Whoa!<br>I teared up a little when I heard the good news.<br>It seems like it was only yesterday that your game studio published its first game...<br>I remember it as clearly as what I had for dinner last night! As for me, I won the lottery the other day, quit my job, and moved abroad.<br>It's been awesome knowing you and watching over your journey from a small start-up to a studio the whole world knows about.<br>Now, each of us must walk a separate path.<br>Good luck, friend!"
"#01343","Update Required"
"#01344","Morning!"
"#01345","Good morning!"
"#01346","Hello."
"#01347","Good evening!"
"#01348","Let's do this."
"#01349","Hey!"
"#01350","Yo!"
"#01351","Been a while!"
"#01352","Doing okay?"
"#01353","Nice to e-meet you!"
"#01354","=#01017"
"#01355","Howdy!"
"#01356","My Friend ID is <Friend ID>."
"#01357","I run a rank<br><Company Rank> game studio."
"#01358","As for my top game... It's got LOADS of downloads."
"#01359","Friend Request"
"#01360","Add Friend"
"#01361","Outsource"
"#01362","Gift"
"#01363","Let's make great games!"
"#01364","Let's work on this project together!"
"#01365","Good luck!"
"#01366"," would be great!"
"#01367","Let's chat!"
"#01368","That's right!"
"#01369","I'm doing great."
"#01370","Yeah!"
"#01371","I play every day."
"#01372","Well, bye."
"#01373","Until next time!"
"#01374","Bye bye."
"#01375","Goodbye."
"#01376","Take care.?"
"#01377","Looking forward to hearing<br>back from you!"
"#01378","Later!"
"#01379","Keep in touch."
"#01380","See you!"
"#01381","We did it!"
"#01382","I'm so happy!"
"#01383","I owe you!"
"#01384","I'm so sad..."
"#01385","Bummer..."
"#01386",":3"
"#01387","^_^"
"#01388","^w^"
"#01389",">(O_O)>"
"#01391",":D"
"#01392","Thumbs up!"
"#01393","Yay!"
"#01394","Hey there!"
"#01396","'Sup!"
"#01397"," (^_^)/"
"#01398","-_-"
"#01399","Uhm..."
"#01400","m(._.)m"
"#01401","\(^_^)/"
"#01402",":/"
"#01403","O_o"
"#01404",":|"
"#01405","v(^_^)v"
"#01406","Woohoo!"
"#01407","(^_^)/ \(^_^)"
"#01408",";_;"
"#01409","x_x"
"#01410","Ouch!"
"#01411","All Righty!"
"#01412","Would be nice to<br>get gifts every 15 ranks!"
"#01413","Can I outsource a project to you?<br>Please!"
"#01414","You've been lots of help."
"#01415","Thank you so much!"
"#01416","Thx!"
"#01417","Thanks for the friend request!"
"#01418","Thanks for adding me as a friend!"
"#01419","Thanks for the gift!"
"#01420","Thanks for everything!"
"#01421","Thanks!"
"#01422","Global Release"
"#01423","Worldwide Branches"
"#01424","Computer Website Ads"
"#01425","Raises popularity among boys."
"#01426","Radio Ads"
"#01427","Raises popularity among girls."
"#01428","Popular Website Ads"
"#01429","Raises popularity among youths."
"#01430","Smartphone Website Ads"
"#01431","Raises popularity among young women."
"#01432","City Billboards"
"#01433","Raises popularity among office workers."
"#01434","Nationwide TV Ads"
"#01435","Raises popularity among housewives."
"#01436","Magazine Ads"
"#01437","Raises popularity among older people."
"#01438","Local TV Ads"
"#01439","Company Website Upgrade"
"#01440","Raises number of game downloads."
"#01441","Resource Library Upgrade"
"#01442","Efficiency UP! Dev Speed Increase"
"#01443","Staff Focus Increase"
"#01444","Increases aura effectiveness."
"#01445","Staff Environment UP"
"#01446","Increases aura trigger rate."
"#01447","Backup Tools Upgrade"
"#01448","Reduces damage taken while developing."
"#01449","Dev Tools Upgrade"
"#01450","Games under development have better quality."
"#01451","Catering"
"#01452","Raises assistants' effectiveness."
"#01453","Winter Cozy-Up Event"
"#01454","Cozy-Up Event"
"#01455","Spring"
"#01456","Lazing at Home Event"
"#01457","Rainy Day Event"
"#01458","Beach Season Event"
"#01459","Summer Fireworks Event"
"#01460","Autumn Moon Viewing Event"
"#01461","Spring Festival"
"#01462","December Festivities"
"#01463","Oversized Sock Event"
"#01464","Naptime Event"
"#01465","Wake-up Event"
"#01466","All-nighter Event"
"#01467","Own Platform 1"
"#01468","Comcap"
"#01469","Sego"
"#01470","Gonami"
"#01471","Digital Arts"
"#01472","Macrosoft"
"#01473","Woobisoft"
"#01474","RANK"
"#01475","Maxivision"
"#01476","Banzai Mamco"
"#01477","Kairohard"
"#01478","Mintendo"
"#01479","In-Game Ads"
"#01480","Add in-game advertisements."
"#01481","Chat"
"#01482","Add in-game chat."
"#01483","Messaging"
"#01484","Add in-game messaging system."
